CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Male,65,10,24
229,Female,62,37,51
230,Female,39,23,36
231,Male,40,57,9
232,Female,64,37,48
233,Female,34,142,21
234,Female,68,103,39
235,Male,41,58,44
236,Female,23,16,78
237,Male,34,74,41
238,Male,53,63,77
239,Female,56,110,16
240,Male,61,110,7
241,Male,51,111,41
242,Female,50,141,39
243,Female,41,141,36
244,Male,52,123,20
245,Male,21,136,71
246,Female,39,126,35
247,Female,49,47,76
248,Male,43,50,96
249,Female,23,35,65
250,Female,19,117,18
251,Male,68,47,13
252,Female,22,52,65
253,Male,43,47,15
254,Female,64,40,66
255,Male,35,103,29
256,Female,68,53,73
257,Female,66,62,46
258,Male,44,18,79
259,Male,41,122,33
260,Male,57,38,31
261,Male,61,119,91
262,Male,23,133,76
263,Female,34,143,30
264,Male,56,30,42
265,Male,48,11,12
266,Female,22,122,82
267,Male,22,36,25
268,Female,46,144,74
269,Male,19,112,55
270,Female,42,135,39
271,Male,59,141,91
272,Female,38,28,11
273,Male,21,14,11
274,Male,45,146,15
275,Male,61,16,68
276,Female,30,116,13
277,Female,28,130,84
278,Male,33,145,1
279,Male,19,38,66
280,Male,37,80,26
281,Male,46,36,67
282,Male,19,82,97
283,Male,43,128,2
284,Male,62,18,20
285,Female,56,113,34
286,Female,49,78,9
287,Female,29,68,6
288,Female,64,127,56
289,Male,69,52,84
290,Female,23,79,11
291,Female,67,69,10
292,Male,33,108,43
293,Female,53,33,15
294,Male,54,97,39
295,Female,52,95,47
296,Male,44,78,40
297,Female,66,35,20
298,Female,51,54,39
299,Male,35,30,96
300,Male,51,84,96
